"","State","Longitude","Latitude"
"2260","florida",-87.0265579223633,30.4125995635986
"2261","florida",-87.078125,30.4011421203613
"2262","florida",-87.1182327270508,30.3954105377197
"2263","florida",-87.1411514282227,30.3839530944824
"2264","florida",-87.1640701293945,30.3839530944824
"2265","florida",-87.1812591552734,30.3839530944824
"2266","florida",-87.1869888305664,30.3896808624268
"2267","florida",-87.1869888305664,30.3954105377197
"2268","florida",-87.1755294799805,30.4011421203613
"2269","florida",-87.158332824707,30.4183292388916
"2270","florida",-87.1239624023438,30.4240608215332
"2271","florida",-87.078125,30.4355182647705
"2272","florida",-87.0552062988281,30.4355182647705
"2273","florida",-87.0208282470703,30.4469795227051
"2274","florida",-86.986457824707,30.4756240844727
"2275","florida",-86.9749908447266,30.4813556671143
"2276","florida",-86.9749908447266,30.4985427856445
"2277","florida",-86.9807205200195,30.5100040435791
"2278","florida",-87.0036392211914,30.5157318115234
"2279","florida",-87.0150985717773,30.5329189300537
"2280","florida",-87.0150985717773,30.5501117706299
"2281","florida",-87.0150985717773,30.5730266571045
"2282","florida",-87.0208282470703,30.5844879150391
"2283","florida",-87.0322952270508,30.5844879150391
"2284","florida",-87.0494766235352,30.5615692138672
"2285","florida",-87.072395324707,30.5157318115234
"2286","florida",-87.078125,30.4928131103516
"2287","florida",-87.089584350586,30.4870853424072
"2288","florida",-87.1067733764648,30.4870853424072
"2289","florida",-87.1239624023438,30.4928131103516
"2290","florida",-87.1239624023438,30.5100040435791
"2291","florida",-87.1182327270508,30.5386505126953
"2292","florida",-87.1296920776367,30.5501117706299
"2293","florida",-87.1468811035156,30.5615692138672
"2294","florida",-87.1697998046875,30.5844879150391
"2295","florida",-87.1869888305664,30.590217590332
"2296","florida",-87.2041702270508,30.590217590332
"2297","florida",-87.1984481811523,30.5672988891602
"2298","florida",-87.1869888305664,30.5501117706299
"2299","florida",-87.1755294799805,30.5157318115234
"2300","florida",-87.1812591552734,30.4870853424072
"2301","florida",-87.1984481811523,30.4584369659424
"2302","florida",-87.2213668823242,30.4412479400635
"2303","florida",-87.261474609375,30.4240608215332
"2304","florida",-87.2958450317383,30.4011421203613
"2305","florida",-87.3073120117188,30.4011421203613
"2306","florida",-87.3130416870117,30.3839530944824
"2307","florida",-87.3187713623047,30.3724918365479
"2308","florida",-87.335952758789,30.3724918365479
"2309","florida",-87.3817901611328,30.3667621612549
"2310","florida",-87.3932571411133,30.3610343933105
"2311","florida",-87.4047164916992,30.3438453674316
"2312","florida",-87.4104385375977,30.3381156921387
"2313","florida",-87.439094543457,30.3323860168457
"2314","florida",-87.4906539916992,30.3151969909668
"2315","florida",-87.5078430175781,30.3151969909668
"2316","florida",-87.5135726928711,30.3266544342041
"2317","florida",-87.5135726928711,30.3323860168457
"2318","florida",-87.4677352905273,30.3553047180176
"2319","florida",-87.4620056152344,30.3610343933105
"2320","florida",-87.4620056152344,30.3896808624268
"2321","florida",-87.4620056152344,30.3896808624268
"2322","florida",-87.4505462646484,30.4011421203613
"2323","florida",-87.439094543457,30.4183292388916
"2324","florida",-87.439094543457,30.4240608215332
"2325","florida",-87.4218978881836,30.4297866821289
"2326","florida",-87.4047164916992,30.4297866821289
"2327","florida",-87.3932571411133,30.4469795227051
"2328","florida",-87.3989868164062,30.4584369659424
"2329","florida",-87.44482421875,30.4928131103516
"2330","florida",-87.4620056152344,30.5100040435791
"2331","florida",-87.4677352905273,30.527193069458
"2332","florida",-87.4620056152344,30.5443801879883
"2333","florida",-87.4333572387695,30.5844879150391
"2334","florida",-87.4104385375977,30.6188640594482
"2335","florida",-87.4104385375977,30.6475124359131
"2336","florida",-87.4218978881836,30.6761589050293
"2337","florida",-87.4505462646484,30.6990776062012
"2338","florida",-87.4620056152344,30.7105388641357
"2339","florida",-87.4906539916992,30.721996307373
"2340","florida",-87.5479507446289,30.7735633850098
"2341","florida",-87.610969543457,30.8423175811768
"2342","florida",-87.6338958740234,30.8595085144043
"2343","florida",-87.6396255493164,30.8766975402832
"2344","florida",-87.6338958740234,30.8996162414551
"2345","florida",-87.610969543457,30.9339923858643
"2346","florida",-87.6052474975586,30.9569110870361
"2347","florida",-87.6052474975586,31.0084743499756
"2348","florida",-87.1812591552734,31.0084743499756
"2349","florida",-86.7973709106445,31.0084743499756
"2350","florida",-86.705696105957,31.0084743499756
"2351","florida",-86.3905715942383,31.0084743499756
"2352","florida",-86.2014999389648,31.0084743499756
"2353","florida",-86.0467987060547,31.0084743499756
"2354","florida",-85.5196762084961,31.0084743499756
"2355","florida",-85.4967651367188,31.0084743499756
"2356","florida",-85.0154800415039,30.9970169067383
"2357","georgia",-80.8901824951172,32.0397987365723
"2358","georgia",-80.8500747680664,32.0283432006836
"2359","georgia",-80.8443450927734,32.0168800354004
"2360","georgia",-80.8500747680664,31.9939613342285
"2361","georgia",-80.8844528198242,31.9710464477539
"2362","georgia",-80.930290222168,31.9595851898193
"2363","georgia",-80.9532089233398,31.9538555145264
"2364","georgia",-80.9646682739258,31.9423980712891
"2365","georgia",-80.9589385986328,31.9252090454102
"2366","georgia",-80.9474716186523,31.9022903442383
"2367","georgia",-80.9875793457031,31.8793716430664
"2368","georgia",-81.0105056762695,31.8736419677734
"2369","georgia",-81.0391464233398,31.885103225708
"2370","georgia",-81.096450805664,31.8908290863037
"2371","georgia",-81.1079025268555,31.8793716430664
"2372","georgia",-81.1136322021484,31.8621845245361
"2373","georgia",-81.0907211303711,31.8564529418945
"2374","georgia",-81.0849838256836,31.8335342407227
"2375","georgia",-81.0735244750977,31.8335342407227
"2376","georgia",-81.0391464233398,31.8278045654297
"2377","georgia",-81.0391464233398,31.8163471221924
"2378","georgia",-81.0448837280273,31.8048877716064
"2379","georgia",-81.0735244750977,31.7876968383789
"2380","georgia",-81.0849838256836,31.7762393951416
"2381","georgia",-81.1079025268555,31.7418632507324
"2382","georgia",-81.1250915527344,31.7304019927979
"2383","georgia",-81.1422882080078,31.7475910186768
"2384","georgia",-81.1766586303711,31.7533206939697
"2385","georgia",-81.199577331543,31.7304019927979
"2386","georgia",-81.1823959350586,31.7246723175049
"2387","georgia",-81.1823959350586,31.6845645904541
"2388","georgia",-81.1709289550781,31.6731071472168
"2389","georgia",-81.1365585327148,31.6902942657471
"2390","georgia",-81.1308212280273,31.6845645904541
"2391","georgia",-81.1308212280273,31.6559181213379
"2392","georgia",-81.1365585327148,31.6158123016357
"2393","georgia",-81.1537399291992,31.5814323425293
"2394","georgia",-81.1651992797852,31.5585174560547
"2395","georgia",-81.19384765625,31.575704574585
"2396","georgia",-81.205307006836,31.5814323425293
"2397","georgia",-81.2282333374023,31.569974899292
"2398","georgia",-81.2511444091797,31.5585174560547
"2399","georgia",-81.2740631103516,31.5585174560547
"2400","georgia",-81.2855224609375,31.5413246154785
"2401","georgia",-81.2855224609375,31.5241374969482
"2402","georgia",-81.2740631103516,31.5184097290039
"2403","georgia",-81.2568740844727,31.5184097290039
"2404","georgia",-81.2454147338867,31.5298671722412
"2405","georgia",-81.2110366821289,31.5355987548828
"2406","georgia",-81.199577331543,31.5355987548828
"2407","georgia",-81.19384765625,31.5241374969482
"2408","georgia",-81.19384765625,31.5126800537109
"2409","georgia",-81.205307006836,31.4897613525391
"2410","georgia",-81.2282333374023,31.4668426513672
"2411","georgia",-81.2454147338867,31.4095478057861
"2412","georgia",-81.2511444091797,31.3980865478516
"2413","georgia",-81.2912521362305,31.4152774810791
"2414","georgia",-81.3027114868164,31.4095478057861
"2415","georgia",-81.3199005126953,31.4038162231445
"2416","georgia",-81.3256301879883,31.3808975219727
"2417","georgia",-81.3256301879883,31.3522510528564
"2418","georgia",-81.3256301879883,31.3350601196289
"2419","georgia",-81.3428192138672,31.3236026763916
"2420","georgia",-81.4058456420898,31.3407917022705
"2421","georgia",-81.4287643432617,31.3407917022705
"2422","georgia",-81.4402160644531,31.3236026763916
"2423","georgia",-81.4459457397461,31.3236026763916
"2424","georgia",-81.4230346679688,31.3064136505127
"2425","georgia",-81.4001083374023,31.2663078308105
"2426","georgia",-81.4001083374023,31.2605762481689
"2427","georgia",-81.4115753173828,31.2491188049316
"2428","georgia",-81.4287643432617,31.2319278717041
"2429","georgia",-81.4402160644531,31.2090129852295
"2430","georgia",-81.4459457397461,31.2032814025879
"2431","georgia",-81.4402160644531,31.1459865570068
"2432","georgia",-81.4402160644531,31.1345252990723
"2433","georgia",-81.4516830444336,31.1287956237793
"2434","georgia",-81.4746017456055,31.1287956237793
"2435","georgia",-81.5089797973633,31.1631755828857
"2436","georgia",-81.5204315185547,31.180362701416
"2437","georgia",-81.5318908691406,31.1860942840576
"2438","georgia",-81.5433578491211,31.180362701416
"2439","georgia",-81.5318908691406,31.1631755828857
"2440","georgia",-81.5261611938477,31.1517143249512
"2441","georgia",-81.5376205444336,31.1287956237793
"2442","georgia",-81.5261611938477,31.117338180542
"2443","georgia",-81.5032501220703,31.1058807373047
"2444","georgia",-81.4860534667969,31.0944194793701
"2445","georgia",-81.4803237915039,31.0600433349609
"2446","georgia",-81.4688720703125,31.0313930511475
"2447","georgia",-81.4402160644531,31.0485820770264
"2448","georgia",-81.4344940185547,31.0657730102539
"2449","georgia",-81.4230346679688,31.1058807373047
"2450","georgia",-81.4115753173828,31.1116065979004
"2451","georgia",-81.4058456420898,31.1058807373047
"2452","georgia",-81.4001083374023,31.0886878967285
"2453","georgia",-81.4001083374023,31.0657730102539
"2454","georgia",-81.4058456420898,31.0371246337891
"2455","georgia",-81.4230346679688,31.0199356079102
"2456","georgia",-81.4402160644531,31.0199356079102
"2457","georgia",-81.4574127197266,31.0084743499756
"2458","georgia",-81.4746017456055,30.9970169067383
"2459","georgia",-81.4975204467773,30.9970169067383
"2460","georgia",-81.5089797973633,30.9912872314453
"2461","georgia",-81.5089797973633,30.9740982055664
"2462","georgia",-81.4975204467773,30.9626407623291
"2463","georgia",-81.4746017456055,30.9683685302734
"2464","georgia",-81.4574127197266,30.9683685302734
"2465","georgia",-81.4459457397461,30.9626407623291
"2466","georgia",-81.4516830444336,30.9454498291016
"2467","georgia",-81.4803237915039,30.9225311279297
"2468","georgia",-81.4975204467773,30.8996162414551
"2469","georgia",-81.5032501220703,30.8824234008789
"2470","georgia",-81.5032501220703,30.8595085144043
"2471","georgia",-81.5147094726562,30.8423175811768
"2472","georgia",-81.5204315185547,30.8251285552979
"2473","georgia",-81.5204315185547,30.8079414367676
"2474","georgia",-81.4860534667969,30.7792911529541
"2475","georgia",-81.4860534667969,30.7621040344238
"2476","georgia",-81.5089797973633,30.727725982666
"2477","georgia",-81.554817199707,30.7162666320801
"2478","georgia",-81.554817199707,30.7162666320801
"2479","georgia",-81.6006546020508,30.721996307373
"2480","georgia",-81.6350326538086,30.727725982666
"2481","georgia",-81.652214050293,30.7449150085449
"2482","georgia",-81.6694030761719,30.7449150085449
"2483","georgia",-81.6923217773438,30.7334575653076
"2484","georgia",-81.7324295043945,30.7621040344238
"2485","georgia",-81.7496185302734,30.7735633850098
"2486","georgia",-81.7725372314453,30.7678337097168
"2487","georgia",-81.8011856079102,30.7907524108887
"2488","georgia",-81.835563659668,30.7907524108887
"2489","georgia",-81.8756713867188,30.8079414367676
"2490","georgia",-81.8928527832031,30.8308601379395
"2491","georgia",-81.9272384643555,30.8251285552979
"2492","georgia",-81.9444198608398,30.8251285552979
"2493","georgia",-81.9616165161133,30.8079414367676
"2494","georgia",-81.9730682373047,30.7964820861816
"2495","georgia",-81.9845275878906,30.7907524108887
"2496","georgia",-82.0131759643555,30.7964820861816
"2497","georgia",-82.0246353149414,30.7907524108887
"2498","georgia",-82.0246353149414,30.7678337097168
"2499","georgia",-82.0475616455078,30.7506446838379
"2500","georgia",-82.0532913208008,30.7334575653076
"2501","georgia",-82.0532913208008,30.7048072814941
"2502","georgia",-82.0475616455078,30.6188640594482
"2503","georgia",-82.0303649902344,30.5844879150391
"2504","georgia",-82.0246353149414,30.5558376312256
"2505","georgia",-82.0303649902344,30.5157318115234
"2506","georgia",-82.0360946655273,30.4412479400635
"2507","georgia",-82.0475616455078,30.3839530944824
"2508","georgia",-82.0475616455078,30.3610343933105
"2509","georgia",-82.087661743164,30.3553047180176
"2510","georgia",-82.1220397949219,30.3610343933105
"2511","georgia",-82.1621475219727,30.3610343933105
"2512","georgia",-82.1793365478516,30.3724918365479
"2513","georgia",-82.2079849243164,30.3954105377197
"2514","georgia",-82.2079849243164,30.4698944091797
"2515","georgia",-82.2137145996094,30.4928131103516
"2516","georgia",-82.2309036254883,30.5100040435791
"2517","georgia",-82.2423629760742,30.527193069458
"2518","georgia",-82.2251739501953,30.5386505126953
"2519","georgia",-82.2137145996094,30.5615692138672
"2520","georgia",-82.460090637207,30.5730266571045
"2521","georgia",-82.6033248901367,30.5844879150391
"2522","georgia",-82.7064590454102,30.590217590332
"2523","georgia",-83.1247100830078,30.6188640594482
"2524","georgia",-83.2851486206055,30.6303253173828
"2525","georgia",-83.3825454711914,30.6303253173828
"2526","georgia",-83.5945434570312,30.6475124359131
"2527","georgia",-83.7606964111328,30.6589698791504
"2528","georgia",-84.0128021240234,30.670431137085
"2529","georgia",-84.087287902832,30.6761589050293
"2530","georgia",-84.3107452392578,30.6876201629639
"2531","georgia",-84.373764038086,30.6876201629639
"2532","georgia",-84.8665084838867,30.7162666320801
"2533","georgia",-84.8779678344727,30.727725982666
"2534","georgia",-84.9066162109375,30.7449150085449
"2535","georgia",-84.9409942626953,30.7850227355957
"2536","georgia",-84.9467239379883,30.8595085144043
"2537","georgia",-84.9409942626953,30.8881549835205
"2538","georgia",-84.9467239379883,30.8996162414551
"2539","georgia",-84.9753723144531,30.9225311279297
"2540","georgia",-84.998291015625,30.9626407623291
"2541","georgia",-85.0154800415039,30.9970169067383
"2542","georgia",-85.0154800415039,30.9970169067383
"2543","georgia",-85.0154800415039,31.0027484893799
"2544","georgia",-85.0326690673828,31.0371246337891
"2545","georgia",-85.0326690673828,31.0772304534912
"2546","georgia",-85.0383987426758,31.0944194793701
"2547","georgia",-85.0441284179688,31.1116065979004
"2548","georgia",-85.0899658203125,31.1402568817139
"2549","georgia",-85.1128768920898,31.174633026123
